county_fips,county,state,annual_zhvi_2015,annual_zhvi_2024,median_household_income_2015,median_household_income_2024,payment_burden_2015_pct,payment_burden_2024_pct,zhvi_growth_pct,income_growth_pct,payment_growth_pct,burden_change_pp
06073,San Diego County,CA,479063.4,945520.49,67053.0,108754.0,32.16,53.97,97.37,62.19,172.23,21.82
06075,San Francisco County,CA,1087468.48,1272817.81,90527.0,137184.0,54.07,57.6,17.04,51.54,61.44,3.53
06077,San Joaquin County,CA,284404.59,554537.55,53341.0,91854.0,24.0,37.48,94.98,72.2,168.94,13.48
06079,San Luis Obispo County,CA,487988.81,881407.21,61761.0,99646.0,35.56,54.91,80.62,61.34,149.13,19.35
06081,San Mateo County,CA,990217.08,1544757.64,101133.0,158569.0,44.07,60.48,56.0,56.79,115.18,16.41
06083,Santa Barbara County,CA,518288.41,975982.96,63049.0,94572.0,37.0,64.07,88.31,50.0,159.74,27.07
06085,Santa Clara County,CA,850036.9,1601216.42,102191.0,166984.0,37.44,59.53,88.37,63.4,159.82,22.09
06087,Santa Cruz County,CA,645963.02,1136925.51,64841.0,105437.0,44.84,66.94,76.0,62.61,142.77,22.1
06089,Shasta County,CA,224255.0,379171.87,45943.0,70620.0,21.97,33.33,69.08,53.71,133.22,11.36
06091,Sierra County,CA,163420.29,325503.6,47535.0,69104.0,15.47,29.24,99.18,45.37,174.74,13.77
06093,Siskiyou County,CA,165390.4,296075.49,37447.0,60432.0,19.88,30.42,79.02,61.38,146.92,10.54
06095,Solano County,CA,340439.91,600007.16,67202.0,94968.0,22.8,39.22,76.24,41.32,143.1,16.42
06097,Sonoma County,CA,522912.71,816868.18,66463.0,105956.0,35.41,47.86,56.22,59.42,115.47,12.45
06099,Stanislaus County,CA,237200.88,468266.27,51949.0,77812.0,20.55,37.36,97.41,49.79,172.3,16.81
06101,Sutter County,CA,224261.18,443413.61,50810.0,74183.0,19.87,37.11,97.72,46.0,172.72,17.24
06103,Tehama County,CA,177166.9,318301.19,40292.0,62822.0,19.79,31.45,79.66,55.92,147.81,11.66
06105,Trinity County,CA,217245.43,280879.24,37669.0,50481.0,25.96,34.54,29.29,34.01,78.33,8.58
06107,Tulare County,CA,177751.42,352848.2,42637.0,68907.0,18.76,31.79,98.51,61.61,173.8,13.03
06111,Ventura County,CA,521009.1,883582.8,79285.0,112872.0,29.58,48.6,69.59,42.36,133.92,19.02
06113,Yolo County,CA,367256.54,633414.74,58766.0,87386.0,28.13,45.0,72.47,48.7,137.89,16.87
06115,Yuba County,CA,207491.06,432329.35,46500.0,74273.0,20.08,36.14,108.36,59.73,187.4,16.05
08001,Adams County,CO,260106.42,511922.45,62991.0,100686.0,18.59,31.56,96.81,59.84,171.47,12.98
08003,Alamosa County,CO,156189.89,302601.98,40067.0,54737.0,17.55,34.32,93.74,36.61,167.23,16.78
08005,Arapahoe County,CO,287619.75,542212.37,67062.0,103442.0,19.3,32.54,88.52,54.25,160.03,13.24
08007,Archuleta County,CO,260222.71,566856.2,50361.0,77215.0,23.26,45.58,117.84,53.32,200.46,22.32
08011,Bent County,CO,66973.21,146690.13,36630.0,46898.0,8.23,19.42,119.03,28.03,202.11,11.19
08013,Boulder County,CO,414889.84,749864.72,72392.0,103293.0,25.8,45.07,80.74,42.69,149.3,19.27
08014,Broomfield County,CO,351220.72,642727.37,86548.0,124435.0,18.27,32.07,83.0,43.78,152.41,13.8
08015,Chaffee County,CO,295861.34,675605.96,50947.0,89591.0,26.14,46.82,128.35,75.85,214.97,20.68
08017,Cheyenne County,CO,87441.7,188938.44,50620.0,70475.0,7.77,16.64,116.07,39.22,198.03,8.87
08019,Clear Creek County,CO,268333.16,576922.22,67262.0,94796.0,17.96,37.78,115.0,40.94,196.56,19.83
08021,Conejos County,CO,120588.81,209828.99,37102.0,53781.0,14.63,24.22,74.0,44.95,140.01,9.59
08025,Crowley County,CO,93527.38,164941.82,35405.0,44379.0,11.89,23.07,76.36,25.35,143.25,11.18
08027,Custer County,CO,188256.95,402389.46,43995.0,71090.0,19.26,35.14,113.74,61.59,194.82,15.88
08029,Delta County,CO,194136.76,394494.05,42586.0,60514.0,20.52,40.47,103.2,42.1,180.28,19.95
08031,Denver County,CO,329609.61,580739.65,57886.0,92395.0,25.63,39.02,76.19,59.62,143.02,13.39
